Sector,Industry,Rank,Company,Revenue,Profits,Employees
"Hotels, Resturants & Leisure",Food Services,218,Yum Brands,13105,1293,505000
"Hotels, Resturants & Leisure",Food Services,109,McDonald’s,25413,4529,420000
"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts",444,Starwood Hotels & Resorts,5763,489,188000
"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts",254,Hilton Worldwide Holdings,11272,1404,164000
Household Products,"Home Equipment, Furnishings",256,Stanley Black & Decker,11211,884,51250
Household Products,"Home Equipment, Furnishings",328,Jarden,8604,147,40000
Household Products,Household and Personal Products,34,Procter & Gamble,78756,7036,110000
Household Products,Household and Personal Products,261,Estee Lauder,10780,1089,44000
Household Products,Miscellaneous,450,Mattel,5703,369,31000
Household Products,Miscellaneous,950,Vista Outdoor,2083,80,5200
Industrials,Construction and Farm Machinery,59,Caterpillar,47011,2102,112200
Industrials,Construction and Farm Machinery,97,Deere,28863,1940,57180
Industrials,"Electronics, Electrical Equip.",75,Honeywell International,38581,4768,129000
Industrials,"Electronics, Electrical Equip.",128,Emerson Electric,22304,2710,110800
Industrials,Industrial Machinery,11,General Electric,140389,-6126,333000
Industrials,Industrial Machinery,224,Parker-Hannifin,12712,1012,54750
Industrials,Miscellaneous,93,3M,30274,4833,89446
Materials,"Building Materials, Glass",480,Owens Corning,5350,330,15000
Materials,"Building Materials, Glass",637,Builders FirstSource,3564,-23,14000
Materials,Forest and Paper Products,373,Weyerhaeuser,7082,506,12600
Materials,Forest and Paper Products,489,Domtar,5264,142,9850
Materials,Metals,126,Alcoa,22534,-322,60000
Materials,Metals,244,United States Steel,11574,-1642,33200
Materials,Miscellaneous,426,A-Mark Precious Metals,6070,7,52
Materials,"Packaging, Containers",127,International Paper,22365,938,56000
Materials,"Packaging, Containers",251,WestRock,11381,507,41400
Media,Entertainment,53,Disney,52465,8382,185000
Media,Entertainment,705,Regal Entertainment Group,3127,153,25915
Media,"Publishing, Printing",255,R.R. Donnelley & Sons,11257,151,68400
Media,"Publishing, Printing",327,News Corp.,8633,-147,25000
Motor Vehicles & Parts,Motor Vehicles and Parts,8,General Motors,152356,9687,215000
Motor Vehicles & Parts,Motor Vehicles and Parts,9,Ford Motor,149558,7373,199000
Retailing,"Automotive Retailing, Services",269,Hertz Global Holdings,10535,273,30000
Retailing,"Automotive Retailing, Services",330,Avis Budget Group,8502,313,26350
Retailing,General Merchandisers,1,Walmart,482130,14694,2300000
Retailing,General Merchandisers,38,Target,73785,3363,341000
Retailing,Specialty Retailers: Apparel,89,TJX,30945,2278,216000
Retailing,Specialty Retailers: Apparel,177,Gap,15797,920,141000
Retailing,Specialty Retailers: Other,28,Home Depot,88519,7009,385000
Retailing,Specialty Retailers: Other,47,Lowe’s,59074,2546,225000
Technology,Computer Peripherals,194,Western Digital,14572,1465,76449
Technology,Computer Peripherals,113,EMC,24704,1990,72000
Technology,Computer Software,77,Oracle,38226,9938,132000
Technology,Computer Software,25,Microsoft,93580,12193,118000
Technology,"Computers, Office Equipment",20,HP,103355,4554,287000
Technology,"Computers, Office Equipment",3,Apple,233715,53394,110000
Technology,Information Technology Services,31,IBM,82461,13190,411798
Technology,Information Technology Services,230,Cognizant Technology Solutions,12416,1624,221700
Technology,Internet Services and Retailing,18,Amazon.com,107006,596,230800
Technology,Internet Services and Retailing,36,Alphabet,74989,16348,61814
Technology,Network and Other Communications Equipment,54,Cisco Systems,49161,8981,71833
Technology,Network and Other Communications Equipment,462,Amphenol,5569,764,50700
Technology,"Scientific,Photographic and Control Equipment",133,Danaher,20909,3357,81000
Technology,"Scientific,Photographic and Control Equipment",164,Thermo Fisher Scientific,16965,1975,52400
Technology,Semiconductors and Other Electronic Components,158,Jabil Circuit,17914,284,161000
Technology,Semiconductors and Other Electronic Components,51,Intel,55355,11420,107300
Telecommunications,Telecommunications,10,AT&T,146801,13345,281450
Telecommunications,Telecommunications,13,Verizon,131620,17879,177700
Transportation,Airlines,67,American Airlines Group,40990,7610,118500
Transportation,Airlines,80,United Continental Holdings,37864,7340,84000
Transportation,"Mail, Package, and Freight Delivery",48,UPS,58363,4844,341240
Transportation,"Mail, Package, and Freight Delivery",58,FedEx,47453,1050,323035
Transportation,Miscellaneous,930,Kirby,2148,227,4200
Transportation,Railroads,129,Union Pacific,21813,4772,47457
Transportation,Railroads,270,Norfolk Southern,10511,1556,30456
Transportation,Transportation Equipment,407,Trinity Industries,6393,797,22030
Transportation,Transportation Equipment,578,Brunswick,4143,241,12607
Transportation,Transportation and Logistics,353,XPO Logistics,7623,-191,89000
Transportation,Transportation and Logistics,390,Expeditors International of Washington,6617,457,15397
Transportation,"Trucking, Truck Leasing",395,Ryder System,6572,305,33100
Transportation,"Trucking, Truck Leasing",521,YRC Worldwide,4832,1,32000
Wholesalers,Miscellaneous,315,Univar,8982,17,9200
Wholesalers,Wholesalers: Diversified,183,Genuine Parts,15280,706,39600
Wholesalers,Wholesalers: Diversified,369,LKQ,7193,423,31100
Wholesalers,Wholesalers: Electronics and Office Equipment,212,Synnex,13338,209,78500
Wholesalers,Wholesalers: Electronics and Office Equipment,64,Ingram Micro,43026,215,27700
Wholesalers,Wholesalers: Food and Grocery,57,Sysco,48681,687,51700
Wholesalers,Wholesalers: Food and Grocery,122,US Foods Holding,23128,168,25000
